"Time,""Frame Number"",""Frame_length"",""Source_ip"",""Destination_IP"",""Source_Port"",""Destination_Port"",""SYN"",""ACK"",""RST"",""TTL"",""TCP_Protocol"""
"0.000000,""1"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000002,""2"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000040,""3"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000042,""4"",""4438"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000053,""5"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000054,""6"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000104,""7"",""1351"",""77.92.104.21"",""192.168.72.187"","""","""","""","""","""",""252,47"",""UDP"""
"0.000105,""8"",""158"",""77.92.104.21"",""192.168.72.187"","""","""","""","""","""",""252,47"",""UDP"""
"0.000108,""9"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000109,""10"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000110,""11"",""1518"",""10.50.211.244"",""64.235.151.57"",""58960"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000130,""12"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000131,""13"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000156,""14"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000157,""15"",""68"",""92.45.54.178"",""10.50.209.134"","""","""","""","""","""",""116"",""UDP"""
"0.000158,""16"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000181,""17"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000182,""18"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000206,""19"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000207,""20"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000231,""21"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000232,""22"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000257,""23"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000258,""24"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000282,""25"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000283,""26"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000308,""27"",""76"",""10.50.195.110"",""10.50.255.28"",""48865"",""443"",""Not set"",""Set"",""Not set"",""62"",""TCP"""
"0.000309,""28"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000310,""29"",""126"",""54.240.166.132"",""192.168.71.186"",""80"",""52067"",""Not set"",""Set"",""Not set"",""252,52"",""TCP"""
